dataset,subject,field_plane,score_key,n_frozen_contacts,n_original_fixed_frozen_contacts,distance_null_coordinates,fingerprint_sha256,smoothing_policy,sigma_reference,sigma_common,sigma_original
epilepsiae,epilepsiae_1077,own_fallback,own_maxab,6,6,original_endpoint_plane_2d,76a8e2174d72c67b3342823f3835f5c0c149403ac9e1956ca6b61c6d381a41a2,subject_fixed,own_a_median_nearest_neighbor_spacing,0.5612536449463136,"{'own_a': 0.5612536449463136, 'own_b': 0.09761183772722551}"
epilepsiae,epilepsiae_1084,shared,shared_maxab,11,11,original_endpoint_plane_2d,2159bb4c6874f43df4f69f0c7b03ae70d24a9782d293df5f0204fe7096a9b4d9,subject_fixed,shared_median_nearest_neighbor_spacing,0.46574089423401854,"{'shared_a': 0.46574089423401854, 'shared_b': 0.46574089423401854}"
epilepsiae,epilepsiae_1096,own_fallback,own_maxab,7,7,original_endpoint_plane_2d,4b6cdde6cc7d9e5b065356e036273263853dbc040015c2c12bcc455174fdd768,subject_fixed,own_a_median_nearest_neighbor_spacing,0.27404110492095346,"{'own_a': 0.27404110492095346, 'own_b': 0.2582866103966213}"
epilepsiae,epilepsiae_1125,own_fallback,own_maxab,7,7,original_endpoint_plane_2d,e6261ed71db036a4725d01e33c7b57fae9939844eb685093a60e8acf961bf079,subject_fixed,own_a_median_nearest_neighbor_spacing,0.46162417382412424,"{'own_a': 0.46162417382412424, 'own_b': 0.27919765110946615}"
epilepsiae,epilepsiae_1146,shared,shared_maxab,15,15,original_endpoint_plane_2d,18bf1de782f41878a97b940f85ff1ceedbd9dfcacb9fe79779772b44f9aae056,subject_fixed,shared_median_nearest_neighbor_spacing,0.09767065932380103,"{'shared_a': 0.09767065932380103, 'shared_b': 0.09767065932380103}"
epilepsiae,epilepsiae_1150,own_fallback,own_maxab,9,9,original_endpoint_plane_2d,2b887d24828c857ba8e29916acf6ab15425befb10e98d209767e229b258a9538,subject_fixed,own_a_median_nearest_neighbor_spacing,0.1930518402900672,"{'own_a': 0.1930518402900672, 'own_b': 0.26532455547354966}"
epilepsiae,epilepsiae_139,shared,shared_maxab,7,7,original_endpoint_plane_2d,2e92e1b2a3a6e45bcee0516a8d9437abf3a15c64351c499d33d86120391178db,subject_fixed,shared_median_nearest_neighbor_spacing,0.16995370336562488,"{'shared_a': 0.16995370336562488, 'shared_b': 0.16995370336562488}"
epilepsiae,epilepsiae_253,own_fallback,own_maxab,8,8,original_endpoint_plane_2d,047956c8c7495396d009077992c5710e9311eb56c1c3ca8ad7730fb59b7a970a,subject_fixed,own_a_median_nearest_neighbor_spacing,0.28476139872736406,"{'own_a': 0.28476139872736406, 'own_b': 0.2723779395189293}"
epilepsiae,epilepsiae_384,shared,shared_maxab,9,9,original_endpoint_plane_2d,1635b2e5d288426a30d03073ff69856e4e45dcc63167d53253edff793fab1fc5,subject_fixed,shared_median_nearest_neighbor_spacing,0.2785453238402071,"{'shared_a': 0.2785453238402071, 'shared_b': 0.2785453238402071}"
epilepsiae,epilepsiae_442,own_fallback,own_maxab,15,15,original_endpoint_plane_2d,0baa5f7249aeba370fdbd49013fe26949657650c35cf18a0d5b45cf72fa75c41,subject_fixed,own_a_median_nearest_neighbor_spacing,0.14805096819927172,"{'own_a': 0.14805096819927172, 'own_b': 0.16141722358151153}"
epilepsiae,epilepsiae_548,shared,shared_maxab,11,11,original_endpoint_plane_2d,e85667c46008d8ac9e1a04d724a68e1b7ca9e0109ccb029a66a67143e317c36c,subject_fixed,shared_median_nearest_neighbor_spacing,0.2011315345599307,"{'shared_a': 0.2011315345599307, 'shared_b': 0.2011315345599307}"
epilepsiae,epilepsiae_583,shared,shared_maxab,7,7,original_endpoint_plane_2d,5ddfbcd1da4ca266c4786e083d72d7cd05e51e43579aaadd4fa2902ed2296c3e,subject_fixed,shared_median_nearest_neighbor_spacing,0.3867073182393461,"{'shared_a': 0.3867073182393461, 'shared_b': 0.3867073182393461}"
epilepsiae,epilepsiae_590,shared,shared_maxab,16,16,original_endpoint_plane_2d,4a287e1f24afb511119ddef4700a0175ebf17dbe6a97a6e0dbc17424f951e2a6,subject_fixed,shared_median_nearest_neighbor_spacing,0.076695114517071,"{'shared_a': 0.076695114517071, 'shared_b': 0.076695114517071}"
epilepsiae,epilepsiae_620,own_fallback,own_maxab,9,9,original_endpoint_plane_2d,05e3c05d09cbfad5e6de8fba3c6506c07096f475cda5bd302f502c78b8ab3fd4,subject_fixed,own_a_median_nearest_neighbor_spacing,0.1577242953733151,"{'own_a': 0.1577242953733151, 'own_b': 0.4563340210166983}"
epilepsiae,epilepsiae_635,own_fallback,own_maxab,7,7,original_endpoint_plane_2d,fbcca1022d5ec56c997134893b8508170c8732bb259a008fb8dbded767b7d462,subject_fixed,own_a_median_nearest_neighbor_spacing,0.1324387744390278,"{'own_a': 0.1324387744390278, 'own_b': 0.12324101759728873}"
epilepsiae,epilepsiae_922,own_fallback,own_maxab,8,8,original_endpoint_plane_2d,58c178f824b39573540be65e52def3c3fc45a09be44c377f1ecacd6525079bfd,subject_fixed,own_a_median_nearest_neighbor_spacing,0.45326006137052777,"{'own_a': 0.45326006137052777, 'own_b': 0.6301690585963765}"
epilepsiae,epilepsiae_958,shared,shared_maxab,16,16,original_endpoint_plane_2d,eb52ad5be63a391a74e4936a9ab6b9179e020355cf36e8f7282be0bcd9904590,subject_fixed,shared_median_nearest_neighbor_spacing,0.36775393480734997,"{'shared_a': 0.36775393480734997, 'shared_b': 0.36775393480734997}"
yuquan,yuquan_xuxinyi,own_fallback,own_maxab,15,15,original_endpoint_plane_2d,84e90c62336ffe40de6947031204f215985a5534a5cd13ad6e3d5c32bec0e268,subject_fixed,own_a_median_nearest_neighbor_spacing,0.13347061141406444,"{'own_a': 0.13347061141406444, 'own_b': 0.03476771822524633}"
yuquan,yuquan_zhangkexuan,own_fallback,own_maxab,26,21,original_endpoint_plane_2d,cb675e8422e2b146106d811747e2bf2b390113dd95a58beb4e47b6f68ecbacb2,subject_fixed,own_a_median_nearest_neighbor_spacing,0.06084632024266421,"{'own_a': 0.06084632024266421, 'own_b': 0.0799957798586858}"
